 # Table   301 for sesame material number 2150
 # T(eV) Rho(g/cm3) P(Mbar) Energy(Mj/kg) FreeEnergy(Mj/kg)
+0.00000000E+00 +0.00000000E+00 +0.00000000E+00 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.00000000E+00 +0.00000000E+00 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.00000000E+00 +0.00000000E+00 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.00000000E+00 +0.00000000E+00 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.00000000E+00 +0.00000000E+00 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.00000000E+00 +0.00000000E+00 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.00000000E+00 +0.00000000E+00 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.00000000E+00 +0.00000000E+00 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.00000000E+00 +0.00000000E+00 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.00000000E+00 +0.00000000E+00 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.00000000E+00 +0.00000000E+00 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.00000000E+00 +0.00000000E+00 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.00000000E+00 +0.00000000E+00 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.00000000E+00 +0.00000000E+00 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.00000000E+00 +0.00000000E+00 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.00000000E+00 +0.00000000E+00 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.00000000E+00 +0.00000000E+00 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.00000000E+00 +0.00000000E+00 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.00000000E+00 +0.00000000E+00 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.00000000E+00 +0.00000000E+00 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.00000000E+00 +0.00000000E+00 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.00000000E+00 +0.00000000E+00 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.00000000E+00 +0.00000000E+00 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.00000000E+00 +0.00000000E+00 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.00000000E+00 +0.00000000E+00 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.00000000E+00 +0.00000000E+00 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.00000000E+00 +0.00000000E+00 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.00000000E+00 +0.00000000E+00 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.00000000E+00 +0.00000000E+00 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.00000000E+00 +0.00000000E+00 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.00000000E+00 +0.00000000E+00 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.00000000E+00 +0.00000000E+00 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.00000000E+00 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.00000000E+00 +0.00000000E+00 +0.83660727E+01 +0.50859093E-02
+0.29298833E+00 +0.00000000E+00 +0.00000000E+00 +0.84989920E+01 +0.51266095E-02
+0.31775293E+00 +0.00000000E+00 +0.00000000E+00 +0.86403236E+01 +0.51665278E-02
+0.34461072E+00 +0.00000000E+00 +0.00000000E+00 +0.87849607E+01 +0.52041984E-02
+0.37373865E+00 +0.00000000E+00 +0.00000000E+00 +0.89415264E+01 +0.52417493E-02
+0.40532857E+00 +0.00000000E+00 +0.00000000E+00 +0.92857752E+01 +0.53176200E-02
+0.43958861E+00 +0.00000000E+00 +0.00000000E+00 +0.98112097E+01 +0.54246280E-02
+0.47674435E+00 +0.00000000E+00 +0.00000000E+00 +0.10695510E+02 +0.55903951E-02
+0.51704079E+00 +0.00000000E+00 +0.00000000E+00 +0.12870690E+02 +0.59655253E-02
+0.58866638E+00 +0.00000000E+00 +0.00000000E+00 +0.19906172E+02 +0.70608011E-02
+0.67021430E+00 +0.00000000E+00 +0.00000000E+00 +0.24573162E+02 +0.77133211E-02
+0.76305896E+00 +0.00000000E+00 +0.00000000E+00 +0.26009132E+02 +0.78864247E-02
+0.86876559E+00 +0.00000000E+00 +0.00000000E+00 +0.27460329E+02 +0.80406647E-02
+0.98911542E+00 +0.00000000E+00 +0.00000000E+00 +0.28281322E+02 +0.81170499E-02
+0.11261375E+01 +0.00000000E+00 +0.00000000E+00 +0.33713100E+02 +0.85526342E-02
+0.12821414E+01 +0.00000000E+00 +0.00000000E+00 +0.44160542E+02 +0.93015973E-02
+0.14597561E+01 +0.00000000E+00 +0.00000000E+00 +0.53672588E+02 +0.99022696E-02
+0.16619759E+01 +0.00000000E+00 +0.00000000E+00 +0.62671703E+02 +0.10400291E-01
+0.18922091E+01 +0.00000000E+00 +0.00000000E+00 +0.70771454E+02 +0.10795900E-01
+0.11543367E+01 +0.00000000E+00 +0.00000000E+00 +0.79333214E+02 +0.11158880E-01
+0.25130966E+01 +0.00000000E+00 +0.00000000E+00 +0.10563862E+03 +0.12124413E-01
+0.29315999E+01 +0.00000000E+00 +0.00000000E+00 +0.13729082E+03 +0.13136261E-01
+0.34197967E+01 +0.00000000E+00 +0.00000000E+00 +0.15881483E+03 +0.13720070E-01
+0.39892919E+01 +0.00000000E+00 +0.00000000E+00 +0.20154260E+03 +0.14708650E-01
+0.46536250E+01 +0.00000000E+00 +0.00000000E+00 +0.26457593E+03 +0.15967229E-01
+0.54285879E+01 +0.00000000E+00 +0.00000000E+00 +0.34249261E+03 +0.17300513E-01
+0.63326063E+01 +0.00000000E+00 +0.00000000E+00 +0.43885605E+03 +0.18714899E-01
+0.73871694E+01 +0.00000000E+00 +0.00000000E+00 +0.55699182E+03 +0.20200063E-01
+0.86173468E+01 +0.00000000E+00 +0.00000000E+00 +0.70908130E+03 +0.21839321E-01
+0.15677298E+02 +0.00000000E+00 +0.00000000E+00 +0.19181810E+04 +0.30391894E-01
+0.28521273E+02 +0.00000000E+00 +0.00000000E+00 +0.54110083E+04 +0.44287439E-01
+0.51887955E+02 +0.00000000E+00 +0.00000000E+00 +0.81201421E+04 +0.50983634E-01
+0.94398300E+02 +0.00000000E+00 +0.00000000E+00 +0.20167172E+05 +0.64517282E-01
+0.17173622E+03 +0.00000000E+00 +0.00000000E+00 +0.39318055E+05 +0.78430653E-01
+0.31243488E+03 +0.00000000E+00 +0.00000000E+00 +0.48385711E+05 +0.81759617E-01
+0.56840399E+03 +0.00000000E+00 +0.00000000E+00 +0.96658320E+05 +0.90966932E-01
+0.10340817E+04 +0.00000000E+00 +0.00000000E+00 +0.13198500E+06 +0.94963230E-01

+0.00000000E+00 +0.10000000E-05 -0.33151291E-07 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.10000000E-05 -0.32135141E-07 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.10000000E-05 -0.31113562E-07 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.10000000E-05 -0.30086550E-07 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.10000000E-05 -0.29815549E-07 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.10000000E-05 -0.29520359E-07 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.10000000E-05 -0.29198789E-07 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.10000000E-05 -0.28848440E-07 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.10000000E-05 -0.28466660E-07 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.10000000E-05 -0.28050581E-07 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.10000000E-05 -0.27597039E-07 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.10000000E-05 -0.27102571E-07 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.10000000E-05 -0.26563370E-07 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.10000000E-05 -0.25975259E-07 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.10000000E-05 -0.25333669E-07 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.10000000E-05 -0.24633540E-07 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.10000000E-05 -0.23869323E-07 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.10000000E-05 -0.23034913E-07 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.10000000E-05 -0.22123571E-07 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.10000000E-05 -0.21127819E-07 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.10000000E-05 -0.20041250E-07 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.10000000E-05 -0.18871390E-07 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.10000000E-05 -0.17590329E-07 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.10000000E-05 -0.16195351E-07 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.10000000E-05 -0.14682990E-07 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.10000000E-05 -0.13941390E-07 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.10000000E-05 -0.13036810E-07 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.10000000E-05 -0.11250390E-07 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.10000000E-05 -0.93117460E-08 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.10000000E-05 -0.72160224E-08 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.10000000E-05 -0.49616031E-08 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.10000000E-05 -0.25599820E-08 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.10000000E-05 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.10000000E-05 +0.46672630E-08 +0.83660727E+01 +0.50859093E-02
+0.29298833E+00 +0.10000000E-05 +0.50615889E-08 +0.84989920E+01 +0.51266095E-02
+0.31775293E+00 +0.10000000E-05 +0.54897824E-08 +0.86403236E+01 +0.51665278E-02
+0.34461072E+00 +0.10000000E-05 +0.59562213E-08 +0.87849607E+01 +0.52041984E-02
+0.37373865E+00 +0.10000000E-05 +0.64637828E-08 +0.89415264E+01 +0.52417493E-02
+0.40532857E+00 +0.10000000E-05 +0.70430031E-08 +0.92857752E+01 +0.53176200E-02
+0.43958861E+00 +0.10000000E-05 +0.78321571E-08 +0.98112097E+01 +0.54246280E-02
+0.47674435E+00 +0.10000000E-05 +0.90072767E-08 +0.10695510E+02 +0.55903951E-02
+0.51704079E+00 +0.10000000E-05 +0.10735200E-07 +0.12870690E+02 +0.59655253E-02
+0.58866638E+00 +0.10000000E-05 +0.14705022E-07 +0.19906172E+02 +0.70608011E-02
+0.67021430E+00 +0.10000000E-05 +0.20168940E-07 +0.24573162E+02 +0.77133211E-02
+0.76305896E+00 +0.10000000E-05 +0.24671030E-07 +0.26009132E+02 +0.78864247E-02
+0.86876559E+00 +0.10000000E-05 +0.28612400E-07 +0.27460329E+02 +0.80406647E-02
+0.98911542E+00 +0.10000000E-05 +0.33253411E-07 +0.28281322E+02 +0.81170499E-02
+0.11261375E+01 +0.10000000E-05 +0.39137539E-07 +0.33713100E+02 +0.85526342E-02
+0.12821414E+01 +0.10000000E-05 +0.50779960E-07 +0.44160542E+02 +0.93015973E-02
+0.14597561E+01 +0.10000000E-05 +0.68432371E-07 +0.53672588E+02 +0.99022696E-02
+0.16619759E+01 +0.10000000E-05 +0.83875904E-07 +0.62671703E+02 +0.10400291E-01
+0.18922091E+01 +0.10000000E-05 +0.98993162E-07 +0.70771454E+02 +0.10795900E-01
+0.21543367E+01 +0.10000000E-05 +0.11992471E-06 +0.79333214E+02 +0.11158880E-01
+0.25130966E+01 +0.10000000E-05 +0.15252590E-06 +0.10563862E+03 +0.12124413E-01
+0.29315999E+01 +0.10000000E-05 +0.19376404E-06 +0.13729082E+03 +0.13136261E-01
