trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,M_core_input_Me,Sigma_dilute,Z_base,Iron_Fraction,P_center_bar,T_deep,T_top,Delta_T,S_deep,S_top,Delta_S,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC,status
M5.0_T200.0_2409,mass,9.49e+27,1.0,200.0,,,,0.0,0.024210526315789474,0.02,0.33,,,,,,,,,,,,solver_returned_none
M5.0_T1000.0_3267,mass,9.49e+27,1.0,1000.0,,,,15.789473684210527,0.01905263157894737,0.02,0.33,,,,,,,,,,,,solver_returned_none
M5.0_T500.0_3163,mass,9.49e+27,1.0,500.0,4.999997974458847,1.0754852188150932,137.35574274535728,94.73684210526316,0.008736842105263157,0.02,0.33,2025370283.6590679,132311.79742651782,499.94299501661067,131811.8544315012,3629.0149226319045,61173.69258603222,-57544.67766340032,-2344420761508.2383,0.27748913545027704,-0.0022784484757752744,-0.008210946609055787,success
M5.0_T500.0_2952,mass,9.49e+27,1.0,500.0,4.999999905439012,1.0152606777094546,285.76199365459064,36.8421052631579,0.031947368421052634,0.02,0.33,2829995451.4313293,170770.18202768386,500.279839873862,170269.90218781,3676.13043065159,61173.69258603222,-57497.562155380634,-3295685173334.602,0.5169650142428468,-0.002876810956973191,-0.005564807825896309,success
M1.0_T500.0_1857,mass,1.898e+27,1.0,500.0,,,,63.15789473684211,0.17905263157894735,0.02,0.33,,,,,,,,,,,,solver_returned_none
M0.3_T200.0_171,mass,5.694e+26,1.0,200.0,,,,42.10526315789474,0.232,0.02,0.33,,,,,,,,,,,,solver_returned_none
M1.0_T200.0_1273,mass,1.898e+27,1.0,200.0,0.9999961370240962,0.6090813493754369,234.92453064619806,15.789473684210527,0.1371578947368421,0.02,0.33,689714479.15377,35414.11557959771,200.57323007760897,35213.5423495201,322.7464639353826,50585.58787573522,-50262.84141179983,-18304772886191.96,0.7836287675986952,-0.0010100061718900798,-0.001288883478569938,success
M0.3_T1000.0_996,mass,5.694e+26,1.0,1000.0,,,,47.36842105263158,0.337,0.02,0.33,,,,,,,,,,,,solver_returned_none
M5.0_T1000.0_3495,mass,9.49e+27,1.0,1000.0,4.999992365704237,1.1153151909551606,383.2752626486988,73.6842105263158,0.03968421052631579,0.02,0.33,2920146865.943977,277058.4576204777,1000.2305978544932,276058.22702262324,5207.9689431252045,69425.39456699316,-64217.42562386795,-264005637742.5159,0.11047869911433278,-0.00456692068625177,-0.04133756753892921,success
M0.3_T1000.0_1164,mass,5.694e+26,1.0,1000.0,,,,94.73684210526316,0.085,0.02,0.33,,,,,,,,,,,,solver_returned_none
