trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,P_center_bar,Iron_Fraction,status
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,1.8446781585800636,0.9463545203710555,27.397131138323655,177827941.00389227,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,1.721848707552082,0.942734998063331,26.022739313101876,158489319.2461111,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,1.9740197650883489,0.9496885542964938,28.84587820168277,199526231.49688828,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,1.4945676187544705,0.9345810440349793,23.475379643351182,125892541.17941661,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,2.2530570017142906,0.9555069318510722,31.972761911375503,251188643.1509582,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,1.195143638386316,0.919785380315333,20.121374834799767,89125093.8133746,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,2.7248664845298545,0.9621114383936082,37.259812343438846,354813389.23357606,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.7214324503044937,0.8789708904121762,14.816238003880093,44668359.21509635,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,3.869071913917158,0.9671302178279766,50.07843893935454,707945784.3841373,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.29401302403215873,0.7898334829773191,10.030526442003671,17782794.100389227,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,5.520527339631705,0.9598697431789263,68.57761641022769,1778279410.0389228,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02380752775999343,0.29195466806732734,7.019473887480268,5623413.251903491,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.024072359474148965,0.2994872824008035,7.0223794538062565,5656195.7897264715,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025424621377523805,0.33196796823462454,7.037140938886975,5793773.036799384,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025151641802886412,0.32605836452107595,7.034138555325352,5767795.2975987345,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02517130676388718,0.3264907686467168,7.034383520484218,5769705.812949936,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025171757275376905,0.32650101656355024,7.034387556824347,5769749.750497076,0.33,success_intermediate
Sharp_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025171764141108253,0.32650117320513355,7.034387618184938,5769750.414764145,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.033548902088385055,0.6476569166162194,7.123000496237256,5769749.750497076,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.08286813178704101,0.785448245522555,7.679545357183954,5306513.211356972,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.036331628338104195,0.5058661276459531,7.16012088902591,5267113.626941327,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02618986021529665,0.4758943918404392,7.046648344315581,5265200.234477559,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02475555938460656,0.4324861349453426,7.03058925767561,5265172.284254236,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02506502613472104,0.446407354300644,7.03405490652587,5265180.394736299,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025305753038980496,0.45107651226120193,7.036750875452646,5265182.926577675,0.33,success_intermediate
Sharp_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025305722004234022,0.45107551647923855,7.036750530795819,5265181.517305212,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.0286786330584415,0.3316237876810817,7.749563437403776,5769749.750497076,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02410384659194907,0.30638755507455967,6.775914387765465,5142294.877927465,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025096476205813734,0.3126156556123964,6.99179481169228,5282368.613916209,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02517301275947927,0.3131704754781757,7.003599383785023,5292919.797340522,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02517160386805921,0.3131472224929016,7.003414086158443,5292746.889864987,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.02517175923691563,0.31314975020401414,7.003434676853771,5292766.019983809,0.33,success_intermediate
Fuzzy_Core_(Cold)_step,mass,4.7776e+25,10.0,200.0,0.025171764202472458,0.31314983192021156,7.003435330892621,5292766.629336092,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02953675044123197,0.4509633558024511,7.926595648700159,5292766.019983809,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.024380720759907038,0.41671350861056905,6.831848002283026,4717182.680632983,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025110792014105782,0.4227647730799862,6.986783506119514,4801243.19019583,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02517910607068299,0.42356482419294833,6.997655710224052,4808232.730172976,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02517658197094032,0.4234746166697547,6.997218093621746,4807480.60443225,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02516551466562016,0.42344696497128154,6.9953592995713985,4806149.299196328,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02517302308823579,0.42358619392691527,6.996437446941138,4806900.485485137,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02516393007354789,0.4232568287524491,6.995488791190869,4806729.216205842,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025172779304059083,0.4235799605325411,6.996403094543915,4806876.689763693,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.02517206802748693,0.4235861156305261,6.996296675471119,4806802.952419203,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025164380737639037,0.42326799957229577,6.9955530760816815,4806774.35391515,0.33,success_intermediate
Fuzzy_Core_(Hot)_step,mass,4.7776e+25,10.0,600.0,0.025172056315196603,0.42358582136676154,6.996295020090895,4806801.8055412825,0.33,success_intermediate
